,date,open,close,high,low,volume,code
183,2025-10-09,3.6,3.62,3.69,3.53,3371960.0,000980
184,2025-10-10,3.66,3.6,3.67,3.5,2112781.0,000980
185,2025-10-13,3.39,3.96,3.96,3.37,4462114.0,000980
186,2025-10-14,4.2,3.6,4.36,3.6,8805630.0,000980
187,2025-10-15,3.48,3.55,3.65,3.42,4464407.0,000980
188,2025-10-16,3.54,3.49,3.6,3.45,2418068.0,000980
189,2025-10-17,3.45,3.38,3.58,3.37,2385383.0,000980
190,2025-10-20,3.4,3.3,3.5,3.27,2403597.0,000980
191,2025-10-21,3.28,3.49,3.58,3.28,2713376.0,000980
192,2025-10-22,3.47,3.73,3.84,3.47,4327745.0,000980
193,2025-10-23,3.8,3.85,3.95,3.74,3800756.0,000980
194,2025-10-24,3.86,3.92,4.07,3.86,3142696.0,000980
